age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,previous,y
39,others,married,2,no,150,no,no,Unknown,12,jun,2,0,no
38,others,single,2,no,68,no,no,Unknown,5,jun,2,0,no
38,others,single,3,no,-256,yes,no,Unknown,9,may,1,0,no
25,business,single,2,no,768,yes,no,Unknown,13,may,1,0,no
56,others,married,1,no,826,yes,no,cellular,21,jul,1,0,no
43,business,single,2,no,275,yes,no,Unknown,12,may,4,0,no
45,business,married,3,no,1493,no,no,Unknown,16,jun,3,0,no
50,others,married,1,no,2603,no,no,cellular,18,nov,1,0,no
36,others,married,2,no,129,yes,no,cellular,12,may,4,0,no
47,business,divorced,3,no,447,no,yes,Unknown,7,may,1,0,no
70,others,married,2,no,0,no,no,cellular,27,oct,1,5,yes
28,business,single,3,no,-380,yes,no,Unknown,4,jun,4,0,no
45,others,married,3,no,121,no,no,cellular,18,aug,4,0,no
29,others,married,2,no,-191,no,yes,cellular,14,jul,2,0,no
40,others,married,2,no,1181,yes,no,cellular,4,feb,2,2,yes
47,others,married,2,no,665,no,no,cellular,18,aug,3,0,no
28,business,married,2,no,170,yes,yes,Unknown,21,may,1,0,no
28,business,married,2,no,157,yes,yes,cellular,28,jul,2,0,no
39,others,divorced,3,no,665,yes,no,cellular,8,may,8,0,no
35,business,divorced,3,no,366,yes,no,telephone,29,jul,9,0,no
34,others,single,2,no,1698,yes,no,Unknown,27,may,7,0,no
52,others,married,2,no,820,yes,no,cellular,2,feb,2,0,no
34,others,married,2,no,80,yes,yes,Unknown,8,may,1,0,no
35,business,married,2,no,907,no,yes,Unknown,2,jul,4,0,no
39,business,single,3,no,633,no,no,cellular,19,nov,2,3,no
42,business,married,2,no,642,yes,yes,Unknown,16,may,2,0,no
43,others,married,2,no,69,yes,yes,cellular,7,jul,1,2,no
65,others,married,2,no,1624,no,no,cellular,27,oct,2,0,no
45,others,married,2,no,1348,no,yes,cellular,1,apr,2,0,yes
51,others,married,2,no,0,yes,no,cellular,11,oct,4,0,no
24,others,single,3,no,818,yes,yes,Unknown,27,may,3,0,no
47,others,single,2,no,1976,no,yes,cellular,20,nov,1,0,no
55,others,married,3,no,554,no,yes,cellular,25,jul,1,0,no
40,others,married,2,no,-450,yes,no,cellular,15,may,1,0,no
33,others,single,2,no,291,no,no,cellular,25,aug,6,0,no
35,others,single,2,no,3490,yes,no,cellular,29,aug,2,0,yes
31,others,married,2,no,793,no,no,cellular,19,nov,1,0,no
55,business,single,3,no,797,no,no,cellular,29,jul,2,0,no
46,others,married,2,no,1028,yes,no,cellular,2,feb,2,1,no
41,others,married,1,no,0,no,no,cellular,14,apr,1,0,yes
33,others,married,2,no,372,yes,no,Unknown,6,may,2,0,no
45,business,married,3,no,-192,yes,no,cellular,6,may,3,0,no
37,others,single,2,no,363,yes,no,cellular,21,nov,4,3,no
59,others,married,3,no,0,yes,no,cellular,23,jul,1,0,no
51,others,married,2,no,12061,yes,no,cellular,17,nov,1,1,no
34,others,married,2,no,903,yes,no,cellular,14,aug,2,0,no
60,business,married,3,no,261,yes,yes,cellular,1,jun,1,1,no
50,others,married,1,no,3924,yes,no,cellular,20,apr,2,0,no
53,others,married,1,no,0,no,no,cellular,8,oct,1,0,no
38,business,married,2,no,47,yes,no,cellular,10,aug,1,5,no
37,business,married,2,no,1207,yes,no,telephone,6,apr,2,2,yes
29,others,married,2,no,1135,yes,no,cellular,26,may,2,1,no
46,others,married,1,no,776,no,yes,telephone,11,jul,2,0,no
32,others,single,3,no,1059,yes,no,cellular,17,apr,1,0,no
47,others,married,1,no,521,yes,no,Unknown,13,may,1,0,no
31,business,single,3,no,1,no,no,cellular,26,aug,5,0,no
50,business,married,3,no,388,yes,no,cellular,11,may,4,2,no
36,business,married,3,no,114,no,no,cellular,13,aug,1,0,no
40,business,married,3,no,710,yes,no,cellular,5,may,1,2,no
56,business,divorced,2,no,778,yes,no,Unknown,6,may,2,0,no
31,others,divorced,2,no,-277,yes,no,telephone,17,jul,2,0,yes
27,others,married,2,no,102,no,yes,cellular,7,jul,2,0,no
39,others,married,2,no,8,no,yes,cellular,18,nov,1,0,no
46,business,married,3,no,273,yes,no,cellular,10,may,6,6,yes
27,others,single,2,no,672,no,no,cellular,18,mar,2,0,no
33,others,married,2,no,-27,yes,no,cellular,18,jul,2,0,no
52,others,married,2,no,8979,yes,no,telephone,20,nov,3,0,no
34,others,married,1,no,31,no,yes,cellular,9,jul,3,0,no
38,others,married,1,no,433,no,no,cellular,7,jul,3,0,no
29,others,single,3,no,16,yes,no,Unknown,6,may,1,0,no
39,business,married,1,no,3373,yes,no,cellular,19,nov,5,0,no
51,business,married,3,no,79,no,yes,cellular,22,aug,7,0,no
31,business,married,2,no,685,yes,no,cellular,15,may,1,3,yes
38,business,single,2,no,0,no,no,cellular,8,jul,3,0,no
40,business,divorced,3,no,290,yes,no,Unknown,27,may,1,0,no
40,others,single,1,no,1780,no,yes,Unknown,11,jun,1,0,no
51,others,married,1,no,176,no,yes,cellular,26,aug,2,0,no
36,others,single,1,no,4519,yes,no,Unknown,23,may,2,0,no
32,business,single,2,no,12,yes,no,cellular,5,may,1,2,no
45,others,married,3,no,-320,yes,no,Unknown,28,may,3,0,no
72,others,married,1,no,3856,no,no,cellular,10,dec,4,1,yes
29,business,single,3,no,0,yes,no,Unknown,5,may,1,0,no
25,others,single,2,no,4859,no,no,cellular,12,jan,1,0,yes
41,others,divorced,2,yes,-198,no,yes,Unknown,14,may,1,0,no
54,business,single,2,no,3344,yes,no,cellular,14,may,8,0,no
72,others,married,2,no,6253,no,no,telephone,7,sep,1,0,no
39,others,married,2,no,98,no,no,cellular,31,jul,1,0,no
28,others,single,2,no,5090,yes,no,Unknown,6,may,3,0,yes
34,others,married,2,no,405,yes,no,Unknown,21,may,1,0,no
32,others,single,2,no,1089,no,no,cellular,6,sep,2,0,no
27,business,single,3,no,831,yes,no,cellular,21,jul,1,0,no
40,business,single,3,no,257,no,no,cellular,1,feb,1,1,no
49,others,married,2,no,1219,yes,no,cellular,26,aug,5,0,no
36,others,married,2,no,866,yes,no,cellular,16,apr,1,0,no
43,others,married,3,no,4216,no,no,cellular,24,dec,2,2,yes
37,others,divorced,3,yes,353,yes,yes,cellular,18,nov,1,0,no
46,others,married,1,no,938,yes,no,Unknown,2,jun,2,0,no
31,others,single,2,no,691,yes,no,cellular,8,may,1,0,no
46,others,divorced,2,no,-26,yes,yes,cellular,19,nov,1,2,no
56,business,divorced,3,no,4246,yes,no,Unknown,6,may,2,0,no
32,others,single,2,no,-23,no,no,cellular,11,may,1,1,no
53,others,married,2,no,-71,yes,no,cellular,6,may,3,0,no
32,others,single,2,no,226,yes,no,Unknown,5,jun,5,0,no
59,business,married,2,no,205,no,no,telephone,1,jun,1,0,no
55,business,married,2,no,420,yes,no,Unknown,30,may,3,0,no
32,others,single,2,no,61,no,yes,cellular,5,jul,3,7,no
31,others,married,1,no,25,no,no,cellular,21,aug,5,0,no
26,others,single,2,no,108,no,no,cellular,21,oct,1,3,no
34,business,divorced,3,no,-401,yes,no,cellular,6,may,1,0,no
25,others,single,2,no,6400,no,no,cellular,7,aug,1,0,no
75,others,married,1,no,962,no,no,cellular,17,jun,1,0,no
30,business,single,3,no,92,no,yes,cellular,29,jul,5,0,no
30,others,married,2,no,171,yes,no,Unknown,2,jun,4,0,no
60,others,married,3,no,3563,no,no,cellular,13,aug,2,0,no
53,others,married,2,no,264,no,no,telephone,27,feb,4,0,no
48,business,married,3,no,363,no,no,cellular,18,nov,1,0,no
33,others,married,2,no,931,yes,no,Unknown,29,may,3,0,no
36,others,married,2,no,22,yes,no,cellular,6,may,2,0,no
34,business,single,3,no,7263,yes,no,telephone,6,apr,1,0,no
41,others,married,1,no,6596,yes,no,cellular,20,nov,1,0,no
38,others,married,2,no,780,yes,no,cellular,13,may,1,5,no
36,business,married,1,no,0,no,no,cellular,21,aug,2,0,no
53,others,married,2,no,1653,no,no,Unknown,17,jun,2,0,no
30,business,single,3,no,320,no,no,cellular,26,may,1,0,no
38,others,married,2,no,360,yes,no,Unknown,14,may,2,0,no
31,business,divorced,2,no,2294,yes,no,Unknown,21,may,2,0,no
57,others,married,3,no,3012,no,no,telephone,20,nov,4,0,no
43,business,married,3,no,870,yes,yes,Unknown,8,may,1,0,no
53,others,married,1,no,46,yes,no,Unknown,7,may,1,0,no
33,others,married,3,no,416,yes,yes,Unknown,23,may,1,0,no
46,others,married,2,no,1045,yes,yes,Unknown,7,may,1,0,no
25,others,single,2,no,342,no,no,cellular,29,jul,4,0,no
25,others,single,2,no,839,no,no,cellular,15,mar,1,2,no
31,others,single,2,no,78,yes,yes,cellular,7,jul,1,0,no
47,business,married,3,no,1855,no,no,Unknown,20,jun,3,0,no
56,others,married,2,no,2190,no,yes,cellular,30,jan,2,1,no
45,business,divorced,2,no,660,yes,no,Unknown,15,may,2,0,no
55,others,married,2,no,989,yes,yes,Unknown,23,may,4,0,no
33,others,married,2,no,386,no,no,cellular,12,may,1,5,yes
35,others,married,1,no,1094,yes,no,Unknown,8,may,1,0,no
37,others,married,2,no,-158,yes,yes,cellular,7,may,2,0,no
30,business,single,3,no,685,no,no,cellular,5,aug,2,0,no
49,others,married,2,no,892,no,no,Unknown,14,may,2,0,no
44,others,married,2,no,0,yes,no,Unknown,30,may,3,0,no
59,others,married,2,no,1723,no,no,Unknown,19,jun,1,0,no
40,business,married,3,no,3185,no,no,cellular,18,nov,1,0,no
34,others,married,2,no,42,yes,no,Unknown,7,may,2,0,no
58,others,married,2,no,372,no,no,Unknown,17,jun,2,0,no
26,business,single,2,yes,0,yes,no,cellular,16,jul,2,0,no
46,others,married,1,no,304,no,no,cellular,22,aug,5,0,no
31,others,single,3,no,1109,no,no,cellular,5,feb,1,2,yes
27,others,single,3,no,149,no,yes,cellular,30,jan,1,0,no
34,business,single,3,no,421,no,no,cellular,11,aug,3,0,no
46,others,married,3,no,529,yes,yes,cellular,29,jul,2,0,no
38,others,divorced,2,no,1221,yes,yes,cellular,18,aug,7,0,no
35,business,single,3,no,777,no,yes,cellular,28,may,1,0,no
32,business,married,3,no,1330,yes,no,Unknown,21,may,1,0,no
28,business,single,3,no,145,yes,no,cellular,20,apr,1,0,no
45,others,married,1,no,351,yes,no,Unknown,19,jun,1,0,no
44,others,married,1,no,882,no,no,telephone,14,aug,4,0,no
44,business,married,3,no,1080,no,yes,Unknown,4,jul,3,0,no
29,others,single,3,no,185,yes,no,Unknown,7,may,3,0,no
36,business,married,3,no,35,no,no,cellular,21,aug,4,0,no
34,others,married,2,no,3778,yes,no,telephone,13,may,3,0,no
22,others,single,3,no,780,no,no,cellular,17,mar,3,0,yes
57,business,married,3,no,132,yes,no,cellular,29,jul,3,0,no
32,others,married,3,no,113,no,yes,cellular,10,jul,1,0,no
31,others,single,2,no,228,no,no,cellular,6,aug,1,4,yes
50,others,single,3,no,339,yes,no,Unknown,5,may,3,0,no
31,others,single,2,no,258,yes,no,cellular,18,may,3,0,no
55,business,divorced,3,no,481,yes,no,telephone,8,may,2,3,no
32,others,single,3,no,586,yes,no,cellular,9,feb,5,0,no
33,others,married,1,no,211,yes,no,Unknown,12,may,2,0,no
32,business,divorced,2,no,2017,no,yes,cellular,17,jul,1,0,no
36,others,married,2,no,287,no,no,cellular,22,aug,6,0,no
33,business,married,2,no,89,no,no,telephone,10,jul,3,0,no
37,others,married,2,no,3,yes,no,cellular,12,jun,4,6,no
20,others,married,3,no,292,no,no,cellular,5,aug,2,1,yes
46,others,married,1,no,0,yes,no,telephone,11,may,4,2,no
30,business,single,3,no,12857,yes,no,cellular,6,nov,1,0,yes
69,others,divorced,3,no,247,no,no,cellular,22,apr,2,0,yes
35,others,married,2,no,8412,no,no,Unknown,9,jun,4,0,no
27,business,single,2,no,442,yes,no,Unknown,28,may,1,0,no
44,others,married,2,no,2776,yes,no,cellular,27,jan,1,0,yes
42,others,married,3,no,1361,no,no,cellular,13,aug,5,0,no
29,others,single,2,no,2,yes,no,cellular,6,may,4,0,no
39,others,single,2,no,556,yes,no,Unknown,29,may,1,0,no
43,others,married,1,no,2105,yes,no,cellular,31,jul,2,0,no
48,business,married,3,yes,-392,no,no,cellular,31,jul,4,0,yes
36,business,single,2,no,0,yes,yes,Unknown,16,may,1,0,no
27,business,single,3,no,625,no,no,cellular,30,jan,2,0,no
43,others,married,3,no,0,no,no,cellular,16,jul,1,1,yes
49,others,married,3,no,523,yes,no,cellular,3,apr,1,2,no
48,others,married,1,no,379,no,no,cellular,17,jul,2,0,no
32,business,single,2,no,6981,yes,no,cellular,2,jun,1,3,no
49,others,married,3,no,443,no,no,cellular,8,aug,6,0,no
27,others,single,2,no,185,yes,no,cellular,7,may,1,0,no
32,others,married,2,no,1118,yes,yes,Unknown,9,may,2,0,no
57,others,divorced,2,no,753,no,no,cellular,21,jul,8,0,no
58,others,married,2,no,553,no,yes,telephone,17,jul,3,0,no
35,others,married,1,no,356,yes,yes,Unknown,20,may,2,0,no
33,others,single,2,no,20,yes,no,cellular,7,aug,2,0,no
48,others,divorced,2,no,0,no,yes,cellular,17,nov,1,0,no
37,others,single,2,no,884,yes,yes,cellular,31,jul,2,0,no
31,business,divorced,2,no,0,yes,no,cellular,15,jul,7,0,no
53,business,divorced,2,no,2647,yes,no,cellular,9,apr,1,0,no
42,others,divorced,3,no,765,no,no,cellular,27,aug,8,0,no
49,business,married,3,no,68,yes,yes,Unknown,19,may,3,0,no
48,business,married,3,no,58,no,yes,cellular,14,jul,2,0,no
50,business,married,3,yes,-143,yes,no,Unknown,15,may,3,0,no
42,others,married,1,no,2111,yes,no,cellular,7,may,2,0,no
32,others,married,2,no,358,no,no,Unknown,26,may,1,0,no
33,business,single,3,no,-359,no,no,telephone,29,aug,2,0,no
47,business,married,3,no,-497,yes,no,cellular,14,may,2,0,no
29,others,single,2,yes,28,yes,no,cellular,18,jul,1,0,no
34,others,married,2,no,-370,yes,no,Unknown,21,may,1,0,no
41,business,married,2,no,611,yes,no,cellular,6,feb,1,1,no
47,others,married,2,no,1968,yes,no,cellular,31,jul,2,0,no
44,others,married,1,no,3753,yes,no,Unknown,28,may,4,0,no
30,others,single,2,no,62,yes,no,telephone,3,feb,2,1,no
45,others,married,2,no,776,yes,no,cellular,6,feb,4,1,no
36,business,divorced,3,no,18,yes,no,cellular,18,jul,2,0,no
34,business,single,3,no,5086,no,no,cellular,25,may,4,0,yes
41,business,married,2,no,557,no,yes,cellular,9,jul,1,0,no
42,others,married,1,no,473,yes,no,cellular,30,jan,1,0,no
29,others,married,2,no,658,yes,no,cellular,24,jul,1,0,no
45,others,single,2,no,21,yes,no,cellular,25,aug,3,0,no
33,others,married,2,no,53,no,no,cellular,20,nov,1,0,no
34,others,married,2,no,277,no,yes,Unknown,3,jul,2,0,no
41,others,divorced,1,no,22,yes,no,cellular,18,nov,3,4,no
32,others,married,2,no,348,yes,no,cellular,17,jul,1,0,yes
31,others,married,2,no,375,yes,no,cellular,17,apr,1,0,no
41,others,single,2,no,184,yes,no,Unknown,9,may,2,0,no
56,others,married,2,no,203,yes,no,cellular,5,aug,3,0,no
45,others,married,2,no,830,no,no,cellular,31,jul,2,0,no
29,others,single,2,no,12,yes,no,cellular,29,jan,3,0,no
35,business,single,2,no,-32,no,yes,cellular,9,feb,4,5,yes
41,business,single,2,no,812,no,yes,Unknown,11,jun,4,0,yes
54,business,married,3,no,-305,yes,no,Unknown,26,may,3,0,no
26,business,single,2,no,-378,no,yes,cellular,8,jul,1,0,no
48,business,single,3,no,1437,yes,yes,Unknown,17,jun,2,0,no
26,business,married,3,no,243,no,no,cellular,26,may,1,0,yes
44,others,married,2,no,0,yes,no,cellular,17,nov,1,2,no
27,others,single,2,no,585,no,no,cellular,28,jan,3,0,no
42,others,single,2,no,7547,no,no,cellular,29,jul,2,0,no
50,business,married,3,no,0,no,no,Unknown,6,may,1,0,no
34,others,married,2,no,1234,yes,no,cellular,8,may,1,6,no
41,business,married,3,no,1897,yes,no,Unknown,19,may,3,0,no
38,others,married,2,no,117,yes,no,cellular,7,may,1,1,no
30,business,married,3,no,359,no,no,cellular,4,mar,2,0,no
52,business,married,2,no,0,no,no,cellular,7,aug,2,0,no
36,others,married,2,no,-456,yes,no,cellular,11,jul,1,0,no
44,business,married,3,no,13893,no,no,Unknown,11,jun,2,0,no
46,business,married,3,no,9678,yes,no,cellular,17,nov,1,0,no
50,others,single,2,no,246,yes,no,cellular,17,jul,2,0,no
55,others,married,2,no,1279,yes,no,cellular,13,may,3,8,no
38,others,married,2,no,-3,no,yes,Unknown,5,jun,1,0,no
49,business,married,3,no,0,no,no,cellular,9,jul,1,0,no
29,others,single,2,no,426,yes,no,telephone,29,jul,6,0,no
49,others,married,1,no,-232,no,yes,cellular,11,aug,2,0,no
33,others,divorced,1,no,-53,yes,no,Unknown,26,may,1,0,no
37,business,married,2,no,68,yes,yes,cellular,13,may,2,1,no
53,others,married,3,no,1778,no,no,cellular,19,nov,2,0,no
54,business,married,3,no,511,no,no,cellular,22,may,2,3,no
58,others,married,2,no,-37,yes,no,Unknown,27,may,2,0,no
30,others,divorced,2,no,-209,yes,no,Unknown,6,may,2,0,no
54,others,married,2,no,479,no,no,cellular,12,aug,3,0,no
36,others,divorced,1,no,553,no,no,Unknown,17,jun,4,0,no
42,others,single,2,no,924,no,no,cellular,2,feb,1,0,no
35,others,divorced,3,no,8903,yes,no,cellular,15,may,1,6,no
30,others,single,2,no,1924,no,no,cellular,6,feb,1,0,no
45,others,divorced,2,no,146,no,no,cellular,8,jul,1,0,no
39,others,married,2,no,311,no,no,cellular,14,aug,2,0,no
33,business,single,2,no,32,no,no,cellular,11,jul,1,0,no
38,business,single,3,no,21963,no,no,telephone,18,jul,2,0,no
25,business,single,3,no,89,no,no,cellular,7,sep,1,0,no
35,others,married,1,no,159,yes,yes,cellular,12,may,1,0,yes
53,business,married,3,no,1356,yes,no,cellular,5,aug,2,2,no
26,others,single,2,no,46,yes,no,cellular,15,may,3,6,no
42,others,divorced,2,no,248,no,no,cellular,19,aug,4,0,no
41,business,married,3,no,651,no,no,cellular,4,aug,1,0,no
32,others,married,2,no,10287,yes,no,cellular,27,may,4,1,yes
37,business,married,3,no,0,yes,no,cellular,11,may,2,0,no
44,business,married,3,no,170,no,no,cellular,4,jun,1,0,no
34,business,single,3,no,0,no,no,cellular,26,may,1,0,no
40,business,married,2,no,5,no,no,cellular,2,feb,1,0,no
37,business,married,3,no,561,no,no,cellular,4,aug,2,0,no
59,others,married,2,no,316,no,no,cellular,14,aug,4,0,no
57,others,married,1,no,1352,yes,no,Unknown,13,may,2,0,no
53,others,married,2,no,910,no,no,cellular,17,nov,1,0,no
45,others,married,2,no,814,no,no,cellular,1,sep,2,0,no
28,others,married,2,no,1,no,no,cellular,20,apr,1,0,no
44,business,married,1,no,5418,yes,yes,cellular,28,jul,5,0,no
64,others,married,1,no,768,no,no,cellular,14,jan,1,0,yes
35,business,single,3,no,5958,yes,no,cellular,22,mar,1,0,yes
42,business,married,3,no,0,yes,no,cellular,15,jul,4,0,no
42,business,married,2,no,587,yes,no,Unknown,19,jun,9,0,no
32,others,single,2,no,5600,yes,no,cellular,21,nov,1,0,no
30,others,single,1,no,4009,yes,no,Unknown,23,may,4,0,no
28,business,married,3,no,174,yes,yes,cellular,11,feb,1,2,no
57,others,divorced,1,no,1920,no,no,Unknown,19,may,2,0,no
23,others,married,2,no,2211,yes,no,cellular,15,may,2,0,no
47,business,married,1,no,668,no,no,cellular,12,may,1,0,no
50,others,married,1,no,1064,yes,no,cellular,8,aug,2,0,no
25,business,single,3,no,3730,yes,no,cellular,27,feb,1,0,yes
35,others,single,2,no,343,yes,no,cellular,6,may,2,0,no
47,others,married,1,no,0,yes,no,telephone,24,jul,1,0,no
42,others,married,2,no,4466,no,no,cellular,17,nov,2,0,no
40,others,married,2,no,219,yes,no,Unknown,5,may,1,0,no
30,business,single,3,no,2876,no,no,cellular,6,aug,4,0,no
31,others,divorced,2,no,26,yes,no,Unknown,9,may,1,0,no
48,others,divorced,2,no,602,yes,no,Unknown,12,may,1,0,no
32,others,single,3,no,1815,no,no,telephone,10,aug,1,2,yes
44,others,divorced,2,no,2340,no,no,cellular,29,jul,3,0,no
37,business,single,3,no,695,no,no,cellular,28,jan,1,0,no
34,business,divorced,3,no,0,no,no,cellular,14,aug,3,0,no
38,others,married,3,no,499,no,no,Unknown,19,jun,6,0,no
26,others,single,2,no,191,yes,no,cellular,6,may,1,0,yes
33,others,married,3,no,627,yes,no,cellular,10,feb,2,0,no
54,others,married,2,no,77,no,no,cellular,21,aug,4,0,no
42,business,married,2,no,6526,no,no,cellular,18,jun,2,3,no
27,business,single,3,no,4991,yes,no,cellular,13,feb,1,0,no
33,others,married,2,no,529,yes,no,Unknown,28,may,3,0,no
47,business,married,2,no,411,yes,no,cellular,13,may,1,0,no
55,business,married,3,no,4777,no,yes,Unknown,20,jun,3,0,no
39,others,married,1,no,-100,yes,no,Unknown,5,may,2,0,no
21,others,single,2,no,3033,yes,no,cellular,6,may,1,0,no
30,others,married,2,no,139,no,yes,cellular,8,jul,2,0,no
51,business,married,3,no,938,no,no,cellular,11,nov,2,3,no
36,others,single,1,no,4148,no,no,cellular,30,jan,3,0,no
48,business,divorced,2,no,4099,no,no,cellular,2,apr,2,0,yes
37,business,divorced,3,no,241,yes,no,Unknown,30,may,1,0,no
45,others,married,2,no,4060,yes,no,Unknown,15,may,1,0,no
40,others,married,2,no,6767,yes,no,cellular,20,nov,2,0,no
34,business,married,3,no,186,yes,no,cellular,14,may,3,0,no
29,others,single,2,no,209,yes,no,cellular,28,jul,7,0,no
47,others,married,1,no,146,yes,yes,Unknown,19,may,5,0,no
33,business,single,3,no,923,yes,no,cellular,19,nov,3,6,no
40,business,married,3,no,4539,no,no,cellular,13,jul,3,1,yes
73,others,married,3,no,443,no,no,cellular,5,feb,2,0,no
38,business,married,3,no,2548,yes,no,Unknown,30,may,1,0,no
34,business,single,3,no,-322,no,no,Unknown,9,may,1,0,no
38,others,single,2,no,1012,yes,yes,telephone,17,nov,1,0,no
53,business,married,3,no,0,no,no,cellular,26,aug,2,0,no
33,business,married,2,no,4040,yes,no,cellular,20,apr,2,0,no
36,others,married,2,no,199,yes,no,cellular,9,jul,1,0,no
36,others,married,2,no,2848,yes,no,cellular,20,nov,3,0,no
35,business,married,3,no,-196,yes,no,cellular,22,jul,2,0,no
35,others,single,1,no,-4,yes,no,cellular,18,may,1,0,no
32,business,married,3,no,138,no,no,cellular,20,aug,4,0,no
55,business,married,2,no,5836,no,no,Unknown,18,jun,1,0,no
60,others,married,1,no,751,yes,no,Unknown,15,may,1,0,no
25,others,married,3,no,4923,yes,yes,cellular,4,may,4,14,no
51,others,married,1,no,196,yes,no,Unknown,16,may,1,0,no
30,others,divorced,2,no,251,yes,yes,Unknown,7,may,2,0,no
42,business,married,2,no,196,yes,yes,cellular,19,nov,1,0,no
37,others,married,2,no,7957,no,no,cellular,19,nov,1,2,no
50,others,married,1,no,-15,no,yes,Unknown,2,jul,1,0,no
29,business,married,3,no,900,no,no,cellular,17,jul,2,0,no
47,business,married,2,no,1156,no,yes,Unknown,3,jul,5,0,no
40,others,married,2,no,3316,no,no,Unknown,19,jun,3,0,no
58,others,married,3,no,0,no,no,cellular,21,aug,2,0,no
46,business,divorced,1,no,509,no,no,cellular,17,jul,1,0,no
40,others,married,3,no,795,yes,no,Unknown,29,may,3,0,no
57,business,married,3,no,1741,no,no,cellular,24,jul,2,0,no
85,others,married,2,no,1934,no,no,telephone,12,jan,1,0,no
38,others,married,2,no,976,yes,no,cellular,14,jul,3,0,yes
36,business,single,3,no,243,yes,no,cellular,7,may,2,3,no
32,business,married,3,no,794,yes,yes,cellular,9,jul,1,0,yes
59,business,married,3,no,7049,no,no,cellular,21,nov,1,2,yes
45,others,divorced,2,no,29,no,no,Unknown,12,jun,1,0,no
39,business,married,2,no,732,no,no,cellular,23,apr,4,0,yes
29,business,single,2,no,1117,yes,no,Unknown,8,may,2,0,no
43,others,married,1,no,59,no,yes,cellular,28,jul,2,0,no
50,others,married,3,no,2313,no,no,cellular,5,aug,1,0,yes
39,others,married,2,no,454,yes,no,cellular,25,aug,8,0,no
32,business,married,2,no,1229,no,no,cellular,11,oct,1,1,no
49,others,married,2,no,26,yes,no,Unknown,6,may,2,0,no
53,others,divorced,1,no,7290,yes,no,Unknown,30,may,1,0,no
31,others,married,2,no,0,no,no,telephone,23,jul,1,0,no
48,others,married,2,no,6127,yes,no,Unknown,15,may,1,0,no
52,others,divorced,1,no,0,yes,yes,Unknown,20,may,1,0,no
42,business,married,3,no,1,no,no,Unknown,14,may,1,0,no
41,others,single,2,no,495,yes,no,cellular,20,nov,2,0,no
48,others,married,2,no,684,yes,yes,Unknown,12,may,1,0,no
53,others,divorced,2,no,36,yes,yes,Unknown,2,jul,1,1,yes
48,business,single,2,no,1544,yes,no,telephone,30,jun,1,2,yes
